I
1050 Generated by WorldEditor 1.6.0r1

1     56 0 0 FMEP ST PIERRE PIERREFONDS
100 45.00 1 0 0.25 0 1 0 15 -21.31337900  055.41480900    0    0 2 0 0 2 33 -21.32531000  055.43056000    0    0 2 0 0 2
110 2 0.00 0.0000 New Taxiway 68
111 -21.31901478  055.42567528
111 -21.31897864  055.42571024
111 -21.31901681  055.42576486
111 -21.31892689  055.42583609
111 -21.31891529  055.42581840
112 -21.31890063  055.42581840 -21.31889941  055.42581971
111 -21.31885178  055.42575219
111 -21.31888659  055.42571351
111 -21.31884628  055.42565845
111 -21.31874308  055.42574760
111 -21.31862644  055.42559093
113 -21.31881392  055.42542180
110 2 0.00 0.0000 New Taxiway 7
111 -21.31865090  055.42546976
111 -21.31869873  055.42553094
111 -21.31866616  055.42556372
113 -21.31861884  055.42549926
110 2 0.00 0.0000 New Taxiway 6
111 -21.31867472  055.42532871
112 -21.31872235  055.42530432 -21.31873554  055.42529960
111 -21.31880662  055.42527050
111 -21.31882641  055.42530039
112 -21.31875386  055.42533186 -21.31874067  055.42534287
113 -21.31870330  055.42536883
110 2 0.00 0.0000 New Taxiway 5
111 -21.31855600  055.42542153
111 -21.31866812  055.42531848
111 -21.31871136  055.42537276
111 -21.31866006  055.42541917
111 -21.31868278  055.42545064
113 -21.31861902  055.42550177
110 2 0.00 0.0000 New Taxiway 4
111 -21.31842116  055.42508957
111 -21.31850617  055.42502035
111 -21.31859997  055.42514149
113 -21.31851496  055.42520757
110 1 0.00 0.0000 New Taxiway 3
112 -21.31954263  055.42591093 -21.31950892  055.42589048
111 -21.31944963  055.42589790
112 -21.31927082  055.42605208 -21.31923711  055.42608670
111 -21.31926936  055.42613311
112 -21.31927595  055.42616615 -21.31927082  055.42617401
111 -21.31924591  055.42617008
111 -21.31922832  055.42619840
111 -21.31911027  055.42604678
111 -21.31920429  055.42596316
111 -21.31921454  055.42595822
111 -21.31920429  055.42594229
111 -21.31920464  055.42590246
111 -21.31922973  055.42590094
111 -21.31922691  055.42593888
111 -21.31923963  055.42594305
111 -21.31923631  055.42596721
112 -21.31924364  055.42597587 -21.31924950  055.42598216
111 -21.31926343  055.42598059
112 -21.31943124  055.42584057 -21.31946275  055.42581382
113 -21.31942538  055.42575404
110 1 0.00 0.0000 New Taxiway 4
111 -21.32000876  055.42638245
112 -21.31979520  055.42635712 -21.31983650  055.42628746
111 -21.31981998  055.42625706
111 -21.31970116  055.42610077
111 -21.31965189  055.42610077
111 -21.31962301  055.42605699
111 -21.31963742  055.42603152
112 -21.31936701  055.42568912 -21.31931194  055.42563635
112 -21.31925098  055.42569862 -21.31922837  055.42571551
111 -21.31922910  055.42575831
111 -21.31925622  055.42588921
111 -21.31922921  055.42590575
111 -21.31921840  055.42593108
111 -21.31919972  055.42590891
111 -21.31918693  055.42585825
111 -21.31916334  055.42587197
111 -21.31881467  055.42542558
111 -21.31869621  055.42553044
111 -21.31864477  055.42546611
111 -21.31874506  055.42537872
111 -21.31883237  055.42531286
112 -21.31869955  055.42514057 -21.31864763  055.42508231
111 -21.31859218  055.42513931
111 -21.31850506  055.42502463
111 -21.31854262  055.42494553
111 -21.31861931  055.42494806
111 -21.31875736  055.42483281
112 -21.31903710  055.42517625 -21.31912165  055.42527863
111 -21.31918655  055.42519525
111 -21.31922540  055.42523686
112 -21.31918974  055.42527096 -21.31915704  055.42530315
111 -21.31918458  055.42535885
112 -21.31994518  055.42631403 -21.31998199  055.42636267
113 -21.32004287  055.42632923
112 -21.31866630  055.42498789 -21.31863992  055.42501244
111 -21.31866454  055.42503509
112 -21.31890724  055.42534943 -21.31893978  055.42539097
111 -21.31896265  055.42537303
112 -21.31901892  055.42532394 -21.31904706  055.42530035
111 -21.31902420  055.42525598
112 -21.31877798  055.42495202 -21.31875072  055.42491710
113 -21.31872697  055.42494164
112 -21.31914648  055.42565522 -21.31918093  055.42570242
112 -21.31925714  055.42561825 -21.31928865  055.42558521
112 -21.31925421  055.42554587 -21.31923222  055.42552385
113 -21.31919998  055.42554823
110 1 0.00 0.0000 New Taxiway 3
111 -21.31979623  055.42714495
112 -21.31955499  055.42734797 -21.31951231  055.42738767
112 -21.31955593  055.42748896 -21.31958344  055.42753324
112 -21.31965453  055.42749755 -21.31967786  055.42747923
111 -21.31966648  055.42744441
111 -21.31962267  055.42744075
112 -21.31962437  055.42735951 -21.31963291  055.42732103
111 -21.31968753  055.42729233
111 -21.31976264  055.42736867
111 -21.31980987  055.42742303
111 -21.31984685  055.42752504
111 -21.31979906  055.42756779
112 -21.31976150  055.42754397 -21.31974671  055.42753603
112 -21.31971257  055.42751954 -21.31969948  055.42751710
112 -21.31966044  055.42755664 -21.31964610  055.42757423
111 -21.31965088  055.42759695
112 -21.31969321  055.42764532 -21.31971643  055.42767391
111 -21.31972872  055.42765998
111 -21.31983114  055.42759182
111 -21.31985367  055.42762040
111 -21.31986186  055.42760428
111 -21.31999432  055.42780584
111 -21.31992127  055.42787181
112 -21.31981323  055.42770533 -21.31979503  055.42768456
112 -21.31975633  055.42770472 -21.31974097  055.42771877
111 -21.31975633  055.42774687
112 -21.31993407  055.42799311 -21.31997845  055.42805541
111 -21.32000303  055.42798651
111 -21.31998254  055.42795499
111 -21.32009657  055.42785751
111 -21.32019216  055.42798431
111 -21.31996752  055.42816608
112 -21.31954334  055.42755773 -21.31946971  055.42746502
111 -21.31940034  055.42751821
111 -21.31934653  055.42746046
113 -21.31976139  055.42709965
110 2 0.00 0.0000 New Taxiway 2
111 -21.31995342  055.42732774
111 -21.32002971  055.42743410
111 -21.31990993  055.42753055
113 -21.31983641  055.42743223
110 2 0.00 0.0000 New Taxiway 1
111 -21.31990914  055.42729166
111 -21.31979745  055.42738418
111 -21.31972531  055.42727602
113 -21.31982888  055.42718399
110 1 0.00 0.0000 New Taxiway 1
111 -21.31312083  055.41489894
112 -21.31342441  055.41457602 -21.31343534  055.41457602
112 -21.31368148  055.41462886 -21.31380729  055.41480500
112 -21.32357442  055.42775982 -21.32358122  055.42776713
111 -21.32398273  055.42820544
111 -21.32443869  055.42880447
111 -21.32565002  055.43052852
111 -21.32520533  055.43086673
111 -21.32507459  055.43084216
112 -21.32474849  055.43104115 -21.32452058  055.43124095
111 -21.32420396  055.43149471
112 -21.32413178  055.43175159 -21.32420775  055.43186169
111 -21.32430461  055.43196431
111 -21.32392572  055.43226741
111 -21.32344282  055.43164179
111 -21.32338244  055.43156723
111 -21.32325998  055.43165965
111 -21.32419472  055.43285785
111 -21.32412746  055.43290042
111 -21.32317202  055.43165222
111 -21.32369448  055.43121101
111 -21.32386477  055.43141040
112 -21.32411990  055.43136656 -21.32425601  055.43124084
111 -21.32475232  055.43081296
111 -21.32459805  055.43059465
111 -21.32454172  055.43029596
111 -21.32444079  055.42988625
111 -21.31476498  055.41708541
111 -21.31442393  055.41702961
112 -21.31442393  055.41678612 -21.31445229  055.41671003
111 -21.31447591  055.41669481
111 -21.31377649  055.41580707
111 -21.31309124  055.41554836
114 -21.31305816  055.41526429 -21.31308179  055.41503094
110 1 0.00 0.0000 main_apron
112 -21.32157032  055.42597010 -21.32144233  055.42595600
111 -21.32138653  055.42600532
112 -21.32070719  055.42660775 -21.32060545  055.42669582
111 -21.32062843  055.42679446
111 -21.32128885  055.42767455
111 -21.32147118  055.42785559
111 -21.32167363  055.42815114
111 -21.32139464  055.42837914
111 -21.32143312  055.42844127
111 -21.32146996  055.42851518
111 -21.32147828  055.42859842
112 -21.32145930  055.42873178 -21.32147526  055.42877337
111 -21.32158265  055.42879214
111 -21.32168304  055.42878506
112 -21.32257060  055.42796079 -21.32273186  055.42771858
111 -21.32262311  055.42739711
112 -21.32338346  055.42840959 -21.32312354  055.42826163
111 -21.32292914  055.42835467
112 -21.32214305  055.42893330 -21.32188402  055.42915561
111 -21.32203884  055.42945706
111 -21.32228519  055.42985977
111 -21.32197648  055.43013369
111 -21.32166791  055.42969582
111 -21.32150557  055.42964967
111 -21.32071292  055.43032774
111 -21.32018780  055.42963831
112 -21.32132597  055.42866274 -21.32142307  055.42857901
111 -21.32130928  055.42847115
111 -21.32113090  055.42864442
111 -21.32092051  055.42836902
111 -21.32089768  055.42838887
111 -21.32080393  055.42827243
111 -21.32069028  055.42836396
111 -21.31978706  055.42707334
111 -21.31972869  055.42686559
111 -21.31966179  055.42677051
111 -21.31957806  055.42656945
112 -21.31979628  055.42635484 -21.31983958  055.42632059
111 -21.32000025  055.42636052
111 -21.32019032  055.42620342
112 -21.32030908  055.42636818 -21.32038784  055.42647387
111 -21.32047974  055.42639481
112 -21.32120399  055.42580005 -21.32128186  055.42573685
113 -21.32124198  055.42560229
110 1 0.00 0.0000 New Taxiway 64
111 -21.32419113  055.43285174
112 -21.32444183  055.43288844 -21.32461530  055.43278319
111 -21.32546624  055.43217871
111 -21.32546434  055.43226841
111 -21.32444870  055.43295455
114 -21.32412250  055.43289338 -21.32401235  055.43270989
110 2 0.00 0.0000 New Taxiway 63
111 -21.32309235  055.43194840
111 -21.32327645  055.43178912
111 -21.32335979  055.43189236
111 -21.32313173  055.43209097
111 -21.32303740  055.43196217
113 -21.32307769  055.43192677
110 1 0.00 0.0000 New Taxiway 62
111 -21.32322100  055.43169859
112 -21.32304050  055.43186065 -21.32298799  055.43190293
111 -21.32301424  055.43197338
112 -21.32311926  055.43209316 -21.32315864  055.43211430
112 -21.32328663  055.43211783 -21.32336212  055.43210021
111 -21.32346714  055.43210373
111 -21.32358200  055.43222351
111 -21.32356231  055.43223056
112 -21.32344416  055.43216715 -21.32341135  055.43214601
112 -21.32312254  055.43217772 -21.32307660  055.43217772
112 -21.32295517  055.43212135 -21.32293876  055.43210373
112 -21.32282061  055.43212839 -21.32279108  055.43214249
111 -21.32269262  055.43237148
111 -21.32264996  055.43230807
111 -21.32280420  055.43199452
112 -21.32268606  055.43196634 -21.32263026  055.43194872
111 -21.32257776  055.43189940
111 -21.32211501  055.43127584
111 -21.32216096  055.43123708
112 -21.32265652  055.43186417 -21.32273200  055.43196281
111 -21.32290594  055.43187826
113 -21.32318783  055.43164945
110 1 0.00 0.0000 New Taxiway 56
112 -21.32029204  055.42435520 -21.32025406  055.42434840
111 -21.32024140  055.42436540
111 -21.31922531  055.42523695
111 -21.31918575  055.42519618
112 -21.31939941  055.42501269 -21.31951969  055.42491245
112 -21.31952247  055.42461585 -21.31959565  055.42455682
112 -21.31977094  055.42460500 -21.31984458  055.42461916
111 -21.31988964  055.42458156
112 -21.32019299  055.42432318 -21.32026223  055.42426773
113 -21.32023036  055.42423234
112 -21.31968758  055.42464883 -21.31961431  055.42463491
112 -21.31955936  055.42467423 -21.31953264  055.42469963
111 -21.31953188  055.42487497
111 -21.31954943  055.42488808
113 -21.31978757  055.42466932
110 1 0.00 0.0000 New Taxiway 55
112 -21.31929453  055.42627707 -21.31929637  055.42627510
112 -21.31944053  055.42629024 -21.31949365  055.42635710
111 -21.31961455  055.42654685
111 -21.31958708  055.42656553
111 -21.31945427  055.42637774
114 -21.31937917  055.42637971 -21.31933887  055.42641117
110 2 0.00 0.0000 New Taxiway 53
111 -21.31937120  055.42670579
111 -21.31947191  055.42683324
